Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
HipertensãoDiabetes Tipo 1Diabetes Tipo 2Hiper c/ Diabete por Macrorreg de Saúde/Município
Período:Jan/2002-Abr/2013
"Macrorreg de Saúde/Município";"Hipertensão";"Diabetes_Tipo_1";"Diabetes_Tipo_2";"Hiper_c/_Diabete"
".....  TACIBA";494;2;16;92
".....  FLORA RICA";91;-;13;41
".....  SANTO ANASTACIO";2041;19;37;773
".....  DRACENA";2063;36;194;1113
".....  IEPE";748;7;14;139
".....  RANCHARIA";252;8;15;91
".....  RIBEIRAO DOS INDIOS";57;-;2;21
".....  OURO VERDE";434;-;12;130
".....  QUATA";965;6;14;324
".....  NARANDIBA";265;2;7;63
".....  JOAO RAMALHO";280;1;8;84
".....  ALVARES MACHADO";1251;15;26;291
".....  ESTRELA DO NORTE";107;2;2;37
".....  NANTES";142;1;4;38
".....  SANTA MERCEDES";141;-;13;48
".....  SAO JOAO DO PAU D'ALHO";259;4;13;45
".....  SANTO EXPEDITO";281;16;-;82
"3533 RRAS10";80646;1143;3703;27713
".....  CHAVANTES";1891;20;72;748
".....  QUEIROZ";40;4;1;32
".....  QUINTANA";871;6;39;240
".....  BASTOS";2547;42;98;718
".....  OSVALDO CRUZ";2970;40;100;956
".....  OSCAR BRESSANE";584;2;11;119
".....  ALVARO DE CARVALHO";202;1;5;61
".....  RIBEIRAO DO SUL";187;4;1;85
".....  POMPEIA";1542;27;69;429
".....  CANDIDO MOTA";168;3;10;125
".....  ALVINLANDIA";423;12;8;160
".....  GARCA";2862;52;65;909
".....  LUPERCIO";147;-;3;41
".....  MARILIA";12386;169;637;4679
".....  TUPA";6749;118;504;2789
".....  INUBIA PAULISTA";356;3;12;104
".....  IPAUSSU";1214;20;69;498
".....  ADAMANTINA";3380;21;147;951
".....  IBIRAREMA";293;5;18;105
".....  CRUZALIA";395;7;9;97
".....  PARAGUACU PAULISTA";2924;63;184;1262
".....  CANITAR";190;-;10;78
".....  CAMPOS NOVOS PAULISTA";49;-;9;39
".....  LUTECIA";285;2;13;86
".....  FLORINIA";149;-;-;59
".....  FERNAO";411;7;16;80
".....  VERA CRUZ";1174;7;28;274
".....  BORA";56;-;6;18
".....  PRACINHA";115;1;-;76
".....  ECHAPORA";798;3;16;188
".....  BERNARDINO DE CAMPOS";28;3;31;195
".....  HERCULANDIA";1130;16;57;296
".....  GUAIMBE";477;11;12;104
".....  FLORIDA PAULISTA";1693;16;62;456
".....  PARAPUA";1234;15;50;430
".....  SANTA CRUZ DO RIO PARDO";4025;85;184;1311
".....  UBIRAJARA";343;1;7;93
".....  ESPIRITO SANTO DO TURVO";500;6;5;174
".....  RINOPOLIS";908;16;46;321
".....  OLEO";58;1;-;23
".....  TARUMA";1640;18;54;442
".....  SAO PEDRO DO TURVO";17;1;-;49
".....  JULIO MESQUITA";922;8;19;194
".....  SAGRES";178;-;2;50
".....  SALMOURAO";187;3;4;111
".....  ASSIS";1269;6;27;421
".....  MARIAPOLIS";811;4;20;226
".....  ARCO-IRIS";72;-;3;19
".....  OURINHOS";8781;126;432;3177
".....  SALTO GRANDE";1011;10;53;355
".....  ORIENTE";261;3;15;93
".....  LUCELIA";1795;42;101;727
".....  GALIA";823;8;56;201
".....  GUARANTA";1038;16;43;288
".....  MARACAI";659;18;30;317
".....  OCAUCU";298;2;16;118
".....  PEDRINHAS PAULISTA";155;4;11;52
".....  IACRI";1361;23;49;353
".....  PALMITAL";2580;29;124;745
".....  PACAEMBU";1034;13;30;366
"3534 RRAS1";65156;1501;4807;28682
".....  MAUA";15306;245;773;5747
".....  RIO GRANDE DA SERRA";868;52;95;611
".....  DIADEMA";3564;38;155;1411
".....  SANTO ANDRE";18737;616;2059;10364
".....  SAO CAETANO DO SUL";517;9;40;406
".....  RIBEIRAO PIRES";3339;90;241;1923
".....  SAO BERNARDO DO CAMPO";22825;451;1444;8220
"Total";1206560;25119;74303;500476
 Fonte: Ministério da Saúde - Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos
